,index,UserID,Name,TweetID,User Location,Date and Time,Text,scores,compound,comp_score,Latitude,Longitude,Country
0,1,1893864265,Martin Odima Jr.,1525860759229517825,"Minneapolis, Minnesota",2022-05-15 15:28:48+00:00,"RT @ValaAfshar: U.S. technology companies founded by 1st and 2nd generation immigrants:

Apple
Google
Amazon
Facebook
Oracle
IBM
Uber
Airbn…","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.1779}",0.1779,positive,44.9772995,-93.2654692,United States
1,3,794125504357900289,Uber India Support,1525860731740209152,India,2022-05-15 15:28:42+00:00,"@AditiChandra15 Hey Aditi, we have addressed your concern and sent a response your way. You should be able to view… https://t.co/tuNVnnWBIM","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive,22.3511148,78.6677428,India
2,4,1295189623,V∞,1525860726052913157,何処,2022-05-15 15:28:40+00:00,"RT @ nogizaka46: ""10th YEAR BIRTHDAY LIVE"" commemoration 🎂

Customers who pre-ordered the ""9th YEAR BIRTHDAY LIVE"" Blu-ray / DVD at the venue will receive a limited B2 clear poster using the ↓ member group photo taken on stage ...","{'neg': 0.044, 'neu': 0.897, 'pos': 0.06, 'compound': 0.1779}",0.1779,positive,46.4229274,128.435644,China
3,7,1295189623,V∞,1525860705706340352,何処,2022-05-15 15:28:36+00:00,"RT @risa_memorial: Risa-san answered various questions # Risa Watanabe's memorial 46 ✨
Today about the memorial book!

The fifth question is
""What surprised you most when shooting in Hokkaido?""

#Risa Memorial [2 days to go on sale! ]
Reservation ▶ ︎ https://t.co/…","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.7339}",0.7339,positive,46.4229274,128.435644,China
4,9,3004056802,MPHO NGWENYA 🐊,1525860698760396800,"Johannesburg, South Africa ",2022-05-15 15:28:34+00:00,RT @ zecky2409: My uber driver is a learner 😭 whenever we lose step,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.7003}",-0.7003,negative,-26.205,28.049722,South Africa
5,10,1295189623,V∞,1525860696705347586,何処,2022-05-15 15:28:33+00:00,"RT @ kakiharuka_1st: # Nogizaka46 10th Basra An off-shot is being released to commemorate 🥰

It's cool to enjoy the beautiful sea that was a dream ❤️🥰

Amazon https://t.co/7DRH7pVYxu
Rakuten https://t.co/XauZ3Giax9
Seven http ...","{'neg': 0.0, 'neu': 0.558, 'pos': 0.442, 'compound': 0.9792}",0.9792,positive,46.4229274,128.435644,China
6,15,26176065,Diogo Rodrigues,1525860667831554051,Brasília/Brasil,2022-05-15 15:28:26+00:00,RT @KriskaCarvalho: Uber drivers are giving up on the app due to high fuel prices. Bolsonaro managed to…,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3947}",0.3947,positive,-10.3333333,-53.2,Brazil
7,16,3029603182,jehmorango,1525860662987132929,"Maringá, Paraná",2022-05-15 15:28:25+00:00,Maybe someone managed to get an uber to get back out of the mosquitoes yesterday,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive,-23.425269,-51.9382078,Brazil
8,17,1295189623,V∞,1525860662148481024,何処,2022-05-15 15:28:25+00:00,"RT @risa_memorial: Risa-san answered various questions # Risa Watanabe's memorial 46 ✨
Today about the memorial book!

The third question is
""What was the most fun part of shooting in Hokkaido?""

#Risa Memorial [2 days to go on sale! ]
Reservation ▶ ︎ https://t.c…","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.835}",0.835,positive,46.4229274,128.435644,China
9,19,2457104593,Bolinho City (13/65),1525860648256688129,Salvador,2022-05-15 15:28:22+00:00,"RT @abezerraigor: uber driver: are you ok?

Me in the back seat:

 https://t.co/TTymBNTrUa","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive,13.8000382,-88.9140683,El Salvador
