,0
god,386
house,326
tweet,269
sunday,233
app,230
white,226
red,218
friday,203
bro,199
monday,197
father,190
series,186
thread,174
ass,163
national,147
indonesia,146
mr,145
sun,141
instagram,141
thomas,139
japan,138
hahaha,137
india,136
pm,135
middle,135
saturday,131
street,128
truth,126
china,125
korea,124
badminton,124
cat,121
dad,121
spirit,119
club,116
kevin,116
g,113
w,111
indonesian,106
box,104
lunch,102
winner,101
brazil,98
bag,98
code,96
ina,93
lady,93
san,93
american,91
ahsan,88
league,88
google,85
south,85
june,85
april,84
mistake,84
@inabadminton,84
min,83
lord,83
thailand,82
amazon,82
haha,81
america,81
star,81
omg,80
english,79
key,79
jesus,78
jojo,77
mass,77
comeback,77
thursday,77
ubercup2022,77
mas,76
vito,76
la,75
anthony,74
jonathan,74
lee,74
channel,74
bank,73
@ainurohman,73
squad,73
denmark,73
wednesday,73
reais,70
ukraine,69
gay,69
apple,69
al,69
park,68
kim,68
west,68
universe,68
united,67
hahahaha,67
dr,67
master,67
yo,66
chicken,65
netflix,64
sir,64
ig,64
htt,63
thomascup,62
allah,62
racist,61
gym,61
wib,61
jonatan,61
@elonmusk,60
dick,60
international,60
calm,60
buffalo,59
wang,58
meme,58
rhustavito,58
md,58
chinese,58
corner,58
military,58
malaysia,57
@bwfmedia,57
fee,57
shesar,57
lmao,57
mexico,56
aunt,56
rio,56
ko,55
asian,55
insane,55
heaven,55
ms,54
shop,54
ji,54
anime,54
ht,54
journey,54
russia,54
kor,53
chan,53
march,53
victim,52
indian,52
republic,52
wall,52
kebab,51
sao,51
sen,51
focus,51
eu,51
germany,51
tuesday,51
army,50
angel,50
vietnam,50
usa,50
gun,50
board,50
musk,50
edition,50
holy,50
http,50
elon,49
kun,49
sinisuka,49
wtf,49
rian,48
hiren,48
kg,48
kidambi,48
mohammad,48
el,47
cousin,47
ma,47
korean,47
cinema,47
sugar,47
que,47
ga,47
@stefanyvonne,47
vibe,47
tokyo,47
pa,47
@uber_mex,47
@zonabadminton,46
ze,46
ws,45
bestie,45
@bayuarisandee,45
@a1_feri,45
ms1,45
europe,44
uncle,44
pair,44
digital,44
setiawan,44
jin,43
meal,43
madrid,43
bangkok,43
financial,43
pqp,43
insta,42
max,42
minister,42
@bwfscore,41
liverpool,41
european,41
anitta,41
don,41
tho,41
jpn,41
audio,41
gad,41
asshole,40
mnc,40
ur,40
tim,40
kodai,40
federal,40
bismillah,40
ni,40
sama,40
giveaway,40
russian,40
bang,40
lo,39
hahahahaha,39
marcus,39
st,39
trust,39
france,38
hyun,38
bbb,38
james,38
ana,38
momota,38
wine,38
prime,37
pt,37
window,37
fr,37
hall,37
muhammad,36
eid,36
shitty,36
spain,36
princess,36
john,35
department,35
maria,35
lawson,35
kkkkkkkk,35
fav,35
august,35
ind,35
lover,35
french,35
rude,35
mi,35
junior,35
@syabdaperkasa,34
ft,34
daniel,34
potato,34
timeline,34
subway,34
january,34
paul,34
stomach,34
le,34
canada,34
christian,34
seyoung,34
bible,34
david,34
chen,34
badmintonindonesia,33
amg,33
po,33
ipad,33
israel,33
devil,33
@convomf,33
ju,33
lu,33
jam,33
tu,33
abu,33
kk,33
li,33
arthur,32
rank,32
joao,32
zhiyi,32
flamengo,32
supreme,32
alhamdulillah,32
jordan,32
lakshya,32
uk,32
covid-19,32
harry,32
alarm,32
congress,32
wanda,31
fox,31
joo,31
akane,31
mama,31
ho,31
shell,31
farm,31
gill,31
cristiano,31
idiot,31
lion,31
hahahahahaha,31
prince,31
kojeng,31
luis,31
moh,30
nigga,30
mexican,30
ed,30
shin,30
draw,30
mac,30
paris,30
yuta,30
biden,30
citizen,30
kento,30
sudirman,30
fortune,29
york,29
dan,29
mall,29
yamaguchi,29
east,29
root,29
professor,29
rally,29
chelsea,29
ppl,28
joe,28
july,28
kak,28
barcelona,28
cafe,28
putin,28
dong,28
gnt,28
luna,28
un,28
tt,28
pussy,28
del,28
leon,28
latin,28
jakarta,28
bgt,28
shetty,27
fernaldi,27
christmas,27
kang,27
tik,27
duo,27
hugo,27
@mankewww,27
button,27
israeli,27
md2,27
clip,27
kkkkkkk,27
chris,27
juice,27
monster,27
jose,27
@car_go_official,27
commission,26
cambodia,26
et,26
mano,26
burden,26
nato,26
ronaldo,26
lucas,26
su,26
bwc,26
fit,26
ep,26
mosque,26
corona,26
aura,26
ocean,26
@mpabigail,26
laughter,26
africa,26
mt,26
pr,26
amiga,26
october,26
england,26
jersey,25
wolf,25
qf,25
ny,25
lamar,25
rj,25
ham,25
idol,25
stone,25
bastard,25
sa,25
taylor,25
beast,25
ja,25
thai,25
italy,25
nct,25
pig,25
lah,25
@tracklist,25
kkkkkkkkkk,25
psychologist,25
@badminton,25
australia,25
london,25
foundation,25
curry,24
ace,24
kitten,24
hill,24
robert,24
bald,24
masterpiece,24
jade,24
luisa,24
bot,24
ke,24
hr,24
koga,24
sunset,24
michael,24
purple,24
antonio,24
african,24
mlk,24
ta,24
se,24
rainy,24
tom,24
lunar,24
leo,24
miguei_777,24
budget,23
thu,23
yi,23
ye,23
orange,23
sony,23
